City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Clifton,US,2021-07-22 04:51:39,40.8584,-74.1638,295.83,73,0,0.45
278,Isiro,CD,2021-07-22 04:51:39,2.7739,27.616,291.86,96,100,1.1
279,Bafra,TR,2021-07-22 04:51:40,41.5678,35.9069,300.27,72,65,4.84
280,Berlevag,NO,2021-07-22 04:51:40,70.8578,29.0864,280.13,76,100,7.86
281,Turukhansk,RU,2021-07-22 04:51:40,65.8167,87.9833,295.45,46,100,7.98
282,Lilongwe,MW,2021-07-22 04:51:41,-13.9669,33.7873,284.26,93,0,2.06
283,Aginskoye,RU,2021-07-22 04:51:41,51.1,114.53,296.21,86,100,1.21
284,Santa Maria,BR,2021-07-22 04:51:41,-29.6842,-53.8069,281.51,75,0,2.07
285,Pringsewu,ID,2021-07-22 04:51:42,-5.3582,104.9744,306.28,50,79,1.51
286,North Branch,US,2021-07-22 04:51:42,45.5113,-92.9802,297.19,87,65,4.83
287,Vestmannaeyjar,IS,2021-07-22 04:51:42,63.4427,-20.2734,284.74,93,100,2.66
288,Yuanping,CN,2021-07-22 04:51:43,38.7153,112.7575,296.54,75,100,2.65
289,Rabo De Peixe,PT,2021-07-22 04:51:43,37.8,-25.5833,291.88,77,20,3.6
290,Ilulissat,GL,2021-07-22 04:51:44,69.2167,-51.1,275.94,89,93,1.65
